@relation D__weibo_category9_noNISegment

@attribute text string
@attribute @@class@@ {体育,军事,历史,时事,汽车,电影,科技,综艺娱乐,美食}

@data
' 投手 年轻 时 雷阿伦 攻击 篮筐',体育
' 汽车 头 日常 车 引擎 发布 日常 精选 高大 卡哇伊 微博汽车 陈震同学 汽车 日常' ,汽车
' God king',体育
' 备课 读 高僧 每次 西域 第一 眼 看成 西城',历史
' 店 人均 元 家 裡 冬物 陸 續 貨 鈰 嫰' ,汽车
' 日本 美食 做法 鲜城 吃 鲜城 家 货 甜 点 零食 充满 高 颜值' ,美食
' 李弘祺 张希清 李裕民 教授 华 科 讲座 信息',历史
' 开 启动 台 帕加尼 Huayra',汽车
' 够 够 卧槽 打架 摆 明 卖 萌',科技
' 世界 舰船 姊妹 舰',军事
' C罗 贝尔 泽 喵 毛病',体育
' 酷 路 泽 改 成 车头 改',汽车
' 梁朝伟 气 北京 北 奥 大厦',科技
' 俊儿 彬 律 背影',综艺娱乐
' 小巧 可爱 土豆 热狗 好吃 饭 菜谱 美味 口 停 马克起来 学' ,美食
' 上海 影像 民国 年 间 年代 上海 Getty Images',历史
' 长安 CS75 新款 帅 爆 微博自媒体',汽车
' 新加坡 疯狂 兰博基尼 飞速 穿越',汽车
' 爷 wink',综艺娱乐
' NBA 趣闻 世界 各国 NBA 屌 球员',体育
' 知识 幻影 垂尾 面积 幻影 翼 面积',军事
' 蔡皇 听 闻铃 起立 鼓掌',历史
' V影响力峰会 媒体 影响力 散',时事
' 阿拉蕾 萌',科技
' C罗 Enjoy 时尚 弄潮儿 破 洞 牛仔裤 馃 憱',体育
' 世纪 证明 日本 服 扔 原子弹 服',军事
' 爱 足球',体育
' 饿 吃 鲜城 秀 味道 家 不可辜负 家 货 美味 家 秀 吃 吃' ,科技
' Facebook 引流 跨境 电 平台 企业 新华社 商 企业 微 电 高手 介绍 业务' ,科技
' 星期五 马 萨 续 约 2021年 萨 新闻',体育
' 成 绝唱 科比 全 明星 舞台 精彩 表演',体育
' 双 十一 良 品 铺子 领 入',汽车
' 摄影师 搭配 模特 完美 构图',历史
' 奥迪 R8 Spyder 颜色 美',汽车
' 瘦 年轻 张继科',体育
' 情况 危险',汽车
' 豪 车 引擎 发布 文章 条 头 日常 资讯 保 时 捷 保 911GT3' ,汽车
' 科技 艺术 黑 美 笑 小米 手机 10月 家 国 15日 25日' ,科技
' 說 國 男 足 国 教 練 還 男 籃' ,体育
' 吃 鲜城 秀 味道 家 不可辜负 家 货 美味 家 秀 早餐' ,美食
' 灯 紧跟 马自达 老远 长城',汽车
' 百度地图 百度 地图 地图 日 搞' ,科技
' 塵 居 六艺 丙申年 秋季 班 招生 塵 六艺',历史
' NBA 酷 图 KobeBryant 干部 退休 生活',体育
' 杨幂 真正男子汉 杨幂 形象 东西 吃 鲜城 秀 味道 不可辜负 家 货 杨幂 杨幂' ,综艺娱乐
' 元 服饰 隆化 民族 博物馆 北京 首都 博物馆',历史
' 开 启动 台 帕加尼 Huayra 萝卜 报告',汽车
' 今夜 话题 两 球星 岁 发现 爱 原因' ,体育
' 饭 防弹 少年 团 jungkook 江南 签名 6P STANDOUT',军事
' 哥 幸福 来得 太 麓 ω',历史
' 十 苦 逼 行业 高德 电 平台 企业 新华社 商 企业 微 电 枪' ,科技
' 湄公河 隐藏 结局 喜欢 家 Ending' ,电影
' 部队 锅 吃 鲜城 味道 不可辜负 家 货 里 加 简单 粗暴 失 美味' ,美食
' 晚安 韦德 记住 美 笑 夜晚' ,体育
' 全世界 李光洙 哥哥 笑 严肃 真 好看 胸肌 瞩目',综艺娱乐
' 孤 胆 英雄 稀缺 年代 期待 威 赛季 联 场 全场 场 表现' ,体育
' 反正',历史
' 电 企业 新华社 商 企业 微 电 知识 卖家 差 评 沟通 术 干货' ,科技
' 魏泽楷 苦瓜 糖葫芦 吃 鲜城 秀 味道 不可辜负 家 货 口 脑子 人生 哲学' ,美食
' 少女 怀中 坐 佛祖 心中 留',军事
' 10月 家 国 15日 底 前 EMS 运费 对折' ,历史
' 低调',科技
' 吃 鲜城 秀 味道 家 不可辜负 家 货 美味 家 秀 泡 馍' ,军事
' 十 发动机 萝卜 报告',汽车
' 哥 姐',科技
' 赛前 热身',体育
' 忙 吃饭 时间 国',军事
' 读 文化 制度 汉语 史',历史
' 火星 情报局 第一 期 录制 现场 睡 觉 长沙',综艺娱乐
' 天 番茄 鸡蛋 炒 吃 鲜城 家 货 试试 做法 喜欢 赶紧 简单 美食' ,美食
' 威 穿 补充 张 穿过 XXXI 年终',体育
' 文茜 世界 周 報 O2016 年代 高峰 會',军事
' 爱 条件 理由',历史
' Demystifying Deep Reinforcement Learning',科技
' 大盘鸡 跟着 菜谱 好吃 饭 菜谱 美味 包 喜欢 家 道 江湖 美食' ,美食
' 威 穿 Air Jordan Retro PE OKC Home',体育
' gif 动 图 茫茫 人海 风景',军事
' 好好 享受 世界 冠军',体育
' 渡 娘 河 听见 一串串 水花 发出 幸福 声响',历史
' 每日 手机 壁纸',汽车
' 厉害 word 弟 史 全 电影 片 推荐 部 惊 推荐 清单 马 慢慢' ,电影
' 古 罗马 人物 形象 玛瑙 戒指 玛瑙 诶',历史
' 汽车 头 日常 车 引擎 发布 日常 日常 全民 车 款 车 武汉 武昌区' ,汽车
' 球迷 培训 ing',体育
' 沙漠 鹰 VS 历史性 西瓜 历史',军事
' 天津 地毯 风靡 海外',历史
' 瓦伦 铲 球',体育
' 偷拍 爪子 舔 蛋蛋',历史
' 反 蛙人 火箭',军事
' 可惜 喜欢 家 乘法' ,科技
' 美国 号 中国 记者 10月 家 国 15日 艘 美 笑 10月 感到 尴尬' ,军事
' 好像 宾利',汽车
' 翻 糖 蛋糕 满分 刀 太 残忍',美食
' 鲜肉 VS 鲜肉 鲜',军事
' 投 希拉里 合法',科技
' 相爱 旧时 中国 记者 10月 15日 艘 美 结婚 证书 文字 字 句 爱情' ,综艺娱乐
' 话题 日产 GT 战神 滴',汽车
' 节目 开 录 剪 完 短发 第一 节目 关注',综艺娱乐
' 德赫亚 扑救',体育
' 第十一 届 届 金鹰节 颁奖 届 晚会 第十一 颁奖 届 颁奖 晚会 华晨宇 文案' ,综艺娱乐
' 每月 次 例行 上天 台 日子',军事
' 汽车 头 日常 车 引擎 发布 文章 条 头 条 头 日常 V影响力峰会 汽车' ,汽车
' 经历 本事 社交 浮尘 皓伦 王明川',综艺娱乐
' 缅甸 民众 行军 缅 军 中国 记者 10月 15日 艘 美 士兵 送 水' ,军事
' 台湾 米糕 小吃 真 叔 吃',汽车
' 距离 赛季 联 场 全场 场 揭幕 剩 天' ,体育
' 天 张 文艺 晚安 忙碌 世界',汽车
' 花儿 少年 季 导演 故事 经典 线 讲述 改编 线 线 邀请 明星 旅行' ,综艺娱乐
' 北 理 工 马兆霖',历史
' 动作 电影 片 推荐 部 片 惊 推荐 机 xie 师 复活 密码 188m' ,电影
' Good luck youGood night',综艺娱乐
' 赛季 联 场 全场 场 倒计时 早安 距离 赛季 天' ,体育
' 用户 体验 安全带',汽车
' 志 夜 款 车 引擎 发布 文章 头 条 头 日常 眼神 灯 犀利' ,汽车
' 清蒸鲈鱼 鲜 香 肉 嫩 可口 美食 做法 鲜城 吃 家 货 做法 简单' ,美食
' 沈阳 冷 帽子 沈阳YM李姐 一鸣陈思宇 老贝贝啊',汽车
' 距离 赛季 联 场 全场 场 剩 天 想念 湖 号 第21 GoLakers' ,体育
' 期待 下期 COMBAT 杂志 SEMAPO GEAR 精选 特辑',军事
' 两口子 在家 无聊 时 干',汽车
' 火箭 队 训练 营 精彩 镜头 回顾',体育
' DH 苦',军事
' 饺子 包 法 学 拿走 谢 手 残 遍',美食
' 国际 形势 配合 期 明天 神 舟 号 第21 问 天' ,军事
' 汽车 头 日常 车 引擎 发布 文章 条 头 条 头 日常 日常 TOYOTA' ,汽车
' 德赫亚 扑 库蒂尼奥 次 射门 英 媒 膜拜',体育
' 完 忘记 原 句 洗 脑',科技
' 還 翻 過 找 點 王大陸TaluWang',综艺娱乐
' 库 里 扣篮 事 随随便便 两 easy',体育
' 喜欢 家 满天星 右 角' ,美食
' 无限 羡慕 喷气 推进 航模 惹火',军事
' 综艺 周 节目 早安 事情 尝试 事 改变 一生' ,综艺娱乐
' 赛前 球场 散步 喵 星',体育
' 谷歌 自动 搜索 Why European country',历史
' 赛前 踩 场',体育
' 期 RM 错过 紧身衣 诱惑',综艺娱乐
' 迹 几何 意义 知 迹 几何 意义 知',科技
' 奥利奥 芝士蛋糕 做法 喜欢 赶紧 简单 好吃 美味 赶紧 喜欢 好吃 蛋糕 家 美食' ,美食
' duang 卧槽 仿佛 小时候',科技
' 穆里尼奥 大巴',体育
' 史 牛 拔 罐 拔 高度',综艺娱乐
' 罐头 爱 黄 桃',美食
' 同事 考古 驻地 发现 蛇 蛇语者',历史
' 長 城 走走',汽车
' 抹茶 控 拒绝 道 甜品',美食
' 莱 科 调教 儿子 吃 鲜城 秀 味道 不可辜负 家 货 家 秀 早饭' ,体育
' 李光洙 金钟国 飞蛾 引发 战争 混 国洙 couple',综艺娱乐
' 台风 号 第21 莎莉嘉 强台风 号 莎莉嘉 前 海口 食品 疯 抢' ,历史
' 今日 贴 纸 卡 躺 天 北京 朝阳区',军事
' 十六 启 汽车 头 日常 车 引擎 发布 条 头 日常 摄影 Ferrari F12tdf' ,汽车
' 图片',综艺娱乐
' 十六 启 汽车 头 日常 车 引擎 发布 条 头 日常 摄影 Ferrari F12tdf' ,汽车
' 催泪 泰国 微 电影 片 推荐 部 片 惊 线 恐怖 悚 推荐 姊妹' ,电影
' 真正男子汉 蒋劲夫 片 线 杨幂 蒋劲夫 佟丽娅 幂 媒体 片 外 场 找 亮点' ,综艺娱乐
' NSV 重机枪',军事
' 西安 关中 民俗 博物馆 大门 影壁',历史
' 第21 号 第21 台风莎莉嘉 台风莎莉嘉 登陆 在即 海马 紧跟' ,科技
' 张杰 面 星海',综艺娱乐
' 明日 烧 雪 菜 肉丝面 吃 鲜城 秀 味道 不可辜负 家 货 好久 吃' ,历史
' 电影 片 推荐 部 惊 推荐 安利 高 分 电影 称之为 神 作 马' ,电影
' 早餐 三明治 魔 美味 三明治 详细',美食
' INS 马 Instagram 更新 Jordan23 Njr11 锔 鞋 马',体育
' 博 主 兵 哥 女朋友 爱 撩 妹',军事
' 退役 生活 邓肯 马 刺 训练场 衣服 汗 流',体育
' 轿车 大车 侧 翻 压 扁 过程 知 命运',汽车
' 推荐 过瘾 家 高 波 恐怖片 真实 事件 改编 线 类 简介 头皮 发麻' ,电影
' 感觉 部 惊 推荐 电影 片 推荐 部 首 MV 真人 版 gta 酷' ,电影
' 刺客 信条 预告 片 导演 故事 经典 线 讲述 线 线 预告 线 明天' ,电影
' 跑 算 强奸 反抗',军事
' 关键字 理解',科技
' 外军 瞭 枫叶 国 CSOR',军事
' 1986年 纪录片 北京 烤鸭 舌尖 中国 记者 10月 家 国 15日 艘 美 饿' ,历史
' TNABO 侠盗 号 第21 星球 大战 外传 人物 海报' ,电影
' We Poppy practicing She piano That difficult Practice perfect',综艺娱乐
' 香辣虾 做法 喜欢 赶紧 简单 吃 鲜城 秀 味道 不可辜负 家 货 虾 动手' ,美食
' 瑞典 1946年 搞 航母 韩 战列舰 计划 计划 扒 扒' ,军事
' 热身 2SM Mall Asia',体育
' 句 形容 蓝天 白云 之下 荒原 荒凉 PM2',军事
' 酸奶蛋糕 乳酪蛋糕 脂肪 热量 清爽 滑腻 口感 收 美食',美食
' 剁 手 2Hotel Revellata',军事
' 湄公河 隐藏 结局 英雄 死 缉毒 哭 热血 沸腾',电影
' 距离 赛季 联 场 天 曼 全场 利物浦 德赫亚 场 联 联 精神 ThankYouKobe' ,体育
' 顶尖 Linux 开源 人工智能 AI 工具' ,科技
' energy',军事
' 奥斯卡 提名 短片 死 苍蝇 哈哈哈 气 好笑',电影
' 中国 记者 10月 家 国 15日 艘 美 笑 确实 强大 CNN 学 CCTV' ,科技
' 球鞋 简报 马 晒 鞋 WeAreJORDAN Twitter',体育
' 女排世俱杯 揭幕战 号 朱婷 瓦基弗银行 制药 土耳其 中国 艘 美 骄傲 加油 朱婷思之晓m 女排朱婷吧' ,体育
' 媒体 抓 批 住 媒体 瞎说 道 混淆视听',科技
' 纸 不好 弄 效果 只能 凑合',军事
' 好久 抽奖 愿望 送 点',科技
' 奔跑 兄弟 冬天 买 帽子',综艺娱乐
' 电影 片 推荐 部 片 惊 推荐 推荐 部 电影 告诉 生活 值得 收藏' ,电影
' 菌 吃',军事
' 梨花 院落 溶溶 月 晚安',历史
' 早餐 笼 汤包',美食
' 乔 丹 空中 换 手 次 过瘾',体育
' 朋友 约 谈',汽车
' 阵子 硕',历史
' 速度 激情 羡 煞 中国 记者 10月 15日 艘 美 版 速度 激 情' ,汽车
' 目标',军事
' 朱婷 瓦基弗银行 女排 制药 土耳其 制药 制药 土耳其 女排世俱杯 第一 局 银行 久 制药' ,体育
' 军人 异地 恋 记 记得 第一 次 爱',军事
' 宁泽涛 寻找 小伙伴 续集 宁泽涛 视 源 小米fan粒粒',体育
' 晚上 总 货 美味 家 秀 抢 时间 我国 城市 真 弄' ,汽车
' 歼 战机 超低空 掠过 双 飞',军事
' 70年 前 未来 概念 自行车 美元 买 生产',科技
' 谢谢 朋友 拉 记得 名 男子 元 10月 15日 17日 10月 消防 兵 感动' ,军事
' 威 最新 期 GQ 杂志 封面 人物 组 照片',体育
' 鼎盛 王朝 歼 双 机 起飞 猛 图',军事
' 俱乐部 排名 鲁能 亚洲 第44 位',体育
' 歼 最新 涂装 曝光',军事
' 图片 奥迪 内卡尔苏尔姆 纳 瓦蓝',汽车
' 麻辣 鸡 丝 不错 开胃 美食',美食
' 陈震同学 韩路 PS3保罗 拍照 说话',汽车
' 坏 惊 线 恐怖 发现 高 线 悚 高 线 恐怖 喜 北京 丰台区' ,军事
' 两 天 玩 微博 跟不上 时代 潮流',历史
' 惹 战神 危险 驾驶 请勿模仿 PS3保罗 Top Cars Top 发条奇奇' ,汽车
' 老家伙 留 伴',体育
' 歼 双 机 编队 训练 珠海 装 逼',军事
' 穿 条 头 特别 好看 裙子 浪费' ,科技
' 厨师 调 饺子馅 秘方 爱 吃 鲜城 秀 味道 不可辜负 家 货 秀 饺子' ,美食
' 型 导弹 驱逐舰 首 舰 建造 跟踪',军事
' 永田 彦 雷克萨斯 改变 郭登礼 大众侃车网',汽车
' 锤子 腾讯 收购',科技
' 敬 杯 一干二净 黎明',历史
' 程序员 次 暴 击',科技
' 晚安',军事
' 三十 放弃 神魂 颠倒 不知所措 想法 三十 受 够',军事
' 浩 汉 快讯 火车 车头 完毕 对接',军事
' 世事 繁华 应景',历史
' 前天 Zumwalt 正式 服役 比伯克 好像 外 星 战舰',军事
' 各国 岁 人口 死亡率 美国 号 中国 记者 10月 15日 艘 美 10月 死亡率' ,军事
' 早 迟到',军事
' 铁 营盘 流水 兵',军事
' 酒 酣 胸 胆 尚 开张 毛 微 霜',军事
' 也许 真 遇上 麻烦事 不好',军事
' 特别 漂亮 054A 官方 皂 片',军事
' 大夫 燥热 小伙儿',军事
' 型 导弹 驱逐舰 号 第21 舰 摄影 HSHde花鸟山' ,军事
' 军事 美 笑 超级 周 周 集结 号 第21 高 清 图 V影响力峰会' ,军事
' 图 莫名 戳 笑 点 国 军 中国 记者 10月 艘 美 垃圾 垃圾' ,军事
' 真 PS 痕迹',军事
